Date,Close,High,Low,Open,Volume,log_return,log_volume,log_return_z,log_volume_z,RSI_14,MACD,MACD_signal,MACD_hist,BB_pos,MA5_dev,MA20_dev
2019-01-02,9554.1396484375,9737.6796875,9542.51953125,9725.26953125,1239100,,14.029896674641623,,,,0.0,0.0,0.0,,,
2019-01-03,9492.419921875,9554.5302734375,9474.4697265625,9494.25,1560800,-0.0064809544598116,14.260709708987912,,,0.0,-4.923510950853597,-0.9847021901707195,-3.9388087606828774,,,
2019-01-04,9382.509765625,9427.240234375,9319.2802734375,9427.240234375,1842100,-0.0116462842914755,14.426417325998855,,,0.0,-17.492615915758506,-4.286284935288277,-13.206330980470229,,,
2019-01-07,9590.2998046875,9596.349609375,9460.2001953125,9460.2001953125,1722300,0.0219048577659572,14.359171745442609,,,19.69770357954134,-10.565015653466617,-5.542031078923945,-5.022984574542671,,,
2019-01-08,9563.599609375,9600.9404296875,9547.6298828125,9591.5595703125,1423100,-0.002787966254788,14.168348851362811,,,19.175035273146307,-7.14693968197389,-5.8630127995339345,-1.283926882439956,,0.0049393575695084735,
2019-01-09,9738.3095703125,9741.6396484375,9584.6298828125,9584.6298828125,2281800,0.0181033628109006,14.640475601394812,,,31.9071363817863,9.549463614715933,-2.780517516683961,12.329981131399894,,0.019352408483947592,
2019-01-10,9720.6904296875,9731.1103515625,9683.2001953125,9731.1103515625,1609200,-0.0018108993720081,14.291248340484373,,,31.370442142847878,21.11634998118643,1.9988559828901176,19.117493998296315,,0.012668773516933074,
2019-01-11,9759.400390625,9796.98046875,9736.0,9753.6298828125,1618600,0.0039743153404293,14.297072753861414,,,33.99722396057798,33.02605726638467,8.204296239589029,24.82176102679564,,0.008779862651813408,
2019-01-14,9708.2197265625,9762.3701171875,9677.490234375,9737.669921875,1356000,-0.00525804198668,14.120050484945333,,,32.240197273863714,37.89787117126798,14.14301122592482,23.75485994534316,,0.0010492612022983128,
2019-01-15,9806.0400390625,9806.0400390625,9701.9296875,9701.9296875,1709500,0.0100256051751517,14.351712073027686,,,38.75516384342366,49.086264587671394,21.131661898274135,27.95460268939726,,0.006105557096790948,
2019-01-16,9763.8095703125,9803.990234375,9763.8095703125,9781.349609375,1796800,-0.0043158772442765,14.40151841951113,,,37.09687958379202,53.92389993285724,27.690109505190758,26.23379042766648,,0.001248769336607003,
2019-01-17,9789.150390625,9826.25,9759.509765625,9773.3095703125,1634200,0.0025920202926781,14.306664557852764,,,38.78940596294217,59.12104263640322,33.97629613143325,25.144746504969966,,0.00243989519756993,
2019-01-18,9836.0595703125,9842.7998046875,9771.150390625,9781.3896484375,1545600,0.0047805113032253,14.25092338943811,,,41.905565181377646,66.26117683634584,40.43327227241577,25.82790456393007,,0.005664621241569856,
2019-01-21,9889.400390625,9919.9404296875,9870.26953125,9870.26953125,1593600,0.0054083352618108,14.281506793322317,,,45.31474435947763,75.35529411950483,47.41767664183359,27.937617477671246,,0.007386084974267071,
2019-01-22,9894.66015625,9894.66015625,9855.4697265625,9880.5400390625,1408000,0.0005317175143554,14.157681525927146,,,45.65341607881453,82.04114743543141,54.342370800553155,27.698776634878257,,0.006105387391800887,
2019-01-23,9846.400390625,9873.3896484375,9828.0302734375,9869.5400390625,1140300,-0.0048892876498079,13.946802820607267,,,43.02078207543325,82.49462787599623,59.97282221564178,22.521805660354453,,-0.000480532391108901,
2019-01-24,9877.1201171875,9892.8203125,9847.3203125,9865.0,1452000,0.0031150373373716,14.188453163071877,,,45.18755405020939,84.36038557799475,64.85033488811237,19.510050689882377,,0.0008503620812332358,
2019-01-25,9969.6103515625,9980.080078125,9918.2099609375,9923.3896484375,1944600,0.0093205179651857,14.480567372602136,,,51.20405113898242,92.23892799462737,70.32805350941537,21.910874485212005,,0.007495582126265443,
2019-01-28,10013.330078125,10020.599609375,9990.0703125,10006.4599609375,1656900,0.0043757120203859,14.320459548093933,,,53.78631923131812,100.84803282752,76.43204937303629,24.415983454483708,,0.009385459171277866,
2019-01-29,9931.58984375,9952.33984375,9893.9599609375,9944.7099609375,1647200,-0.0081966427879867,14.314588041786353,,,48.60714200242844,99.92320415297581,81.1302803290242,18.79292382395161,0.7621625524650727,0.0004008706463451972,0.017962872512130357
2019-01-30,9932.259765625,9959.0302734375,9909.8095703125,9915.9697265625,1981800,6.745136400319568e-05,14.499516585198592,,,48.650783107180345,98.11333837060556,84.52689193734048,13.586446433265081,0.7387576473297358,-0.0012591794959055935,0.01606259358625639
2019-02-11,10004.25,10065.51953125,9988.830078125,10029.83984375,2320500,0.0072219809907214,14.657293668604884,,,53.245420410014134,101.32006235598055,87.8855260210685,13.434536334912053,0.8223287116932454,0.0034143713110925678,0.02075481238244037
2019-02-12,10097.740234375,10100.23046875,10032.080078125,10032.080078125,2264900,0.0093016569359532,14.63304160733475,,,58.445530054815414,110.13571879203118,92.33556457526105,17.80015421677014,0.973954044645807,0.010194872199687843,0.026548125568248482
2019-02-13,10090.580078125,10140.98046875,10074.33984375,10123.6103515625,2455200,-0.0007093365311615,14.713719189586374,,,57.91426066286454,115.21628366310142,96.91170839282913,18.304575270272295,0.9206487893757066,0.007920671701428184,0.02321821882372821
2019-02-14,10089.009765625,10135.6201171875,10082.0,10095.990234375,2140200,-0.000155633738379,14.57641030782098,,,57.7901909164406,117.75851003031494,101.0810687203263,16.677441309988637,0.8995312740399612,0.004604487230899901,0.02034088108582499
2019-02-15,10064.7802734375,10135.16015625,10055.5,10111.1796875,2137700,-0.0024044612764121,14.57524151045975,,,55.80370133567371,116.47546851923835,104.15994868010871,12.315519839129635,0.8170878049531801,-0.00044608953295077747,0.01621283021159936
2019-02-18,10145.2802734375,10165.76953125,10096.9404296875,10096.9404296875,1911900,0.0079663715548307,14.463608593010266,,,60.64407151500559,120.56453322116795,107.44086558832056,13.123667632847386,0.9235348440054716,0.004734068036171157,0.022149730731445327
2019-02-19,10152.259765625,10173.4697265625,10143.150390625,10152.1103515625,1765600,0.0006877180632875,14.384001700304204,,,61.04245096834921,122.95103020520219,110.54289851169689,12.408131693505297,0.8894222256253017,0.004340727748451956,0.020832640645457534
2019-02-20,10272.4599609375,10272.4599609375,10181.9404296875,10181.9404296875,2246700,0.0117702063585008,14.624973476002722,,,67.2002240045475,133.00826102724932,115.03597101480739,17.97229001244193,1.0350370183168633,0.01258797430423253,0.029997164790308783
2019-02-21,10319.5302734375,10319.5302734375,10256.5302734375,10282.3203125,2282400,0.004571718804003,14.640738517016628,,,69.2499883207137,143.12699089036505,120.65417498991893,22.472815900446122,1.0207441589520727,0.012625837017668173,0.03205994230339804
2019-02-22,10322.919921875,10322.919921875,10269.9501953125,10309.01953125,2188700,0.0003284153223957,14.598818775124291,,,69.39829847419878,149.69409318394173,126.4621586287235,23.23193455521823,0.963632590822138,0.007852571250326568,0.02952056605549913
2019-02-25,10390.9296875,10390.9296875,10343.4501953125,10343.4501953125,2325300,0.0065666219743888,14.659360050989656,,,72.28644451963451,158.55862365544635,132.88145163406807,25.677172021378283,0.994316623127188,0.009649575711002889,0.033202829756640906
2019-02-26,10391.5498046875,10416.91015625,10368.8603515625,10403.0302734375,2295000,5.967692044802785e-05,14.646243837206535,,,72.31210416807005,163.74630076738868,139.0544214607322,24.69187930665649,0.9353723002188075,0.0050362189806978375,0.03041877513119884
2019-02-27,10389.169921875,10403.0498046875,10343.5595703125,10385.8095703125,2510800,-0.0002290471989632,14.736112383704867,,,72.03644198168351,165.754817245921,144.39450061776995,21.360316628151054,0.8831219902421891,0.0025427441756831204,0.027636469108550887
2019-03-04,10349.8798828125,10402.3896484375,10313.1796875,10385.25,2273800,-0.0037889957773467,14.636963438469463,,,67.46398370533636,162.305249350944,147.97665036440478,14.32859898653922,0.7977953180369899,-0.0018333651166096976,0.02145044813449104
2019-03-05,10305.259765625,10334.33984375,10295.4404296875,10323.25,1773500,-0.0043204923671265,14.388466117052436,,,62.60402392405266,154.19352442281706,149.22002517608723,4.97349924672983,0.7161944763711398,-0.005797971277221703,0.014749115146463598
2019-03-06,10357.150390625,10359.1201171875,10327.900390625,10328.1796875,1865800,0.0050227184241963,14.43920100947198,,,65.69869316077087,150.22041629482192,149.42010339983418,0.8003128949877407,0.7680651271062893,-0.00014013112064437117,0.017454078302626463
2019-03-07,10311.6796875,10367.98046875,10299.4599609375,10359.4697265625,2007700,-0.0043999371333944,14.51250084432393,,,60.93967919050342,141.7683761584176,147.88975795155088,-6.121381793133281,0.6793169917236748,-0.002992299674502097,0.011288021420784222
2019-03-08,10241.75,10274.2802734375,10204.2099609375,10274.2802734375,1780600,-0.0068046995949591,14.392461505729996,,,54.411855906289404,127.95237675059616,143.90228171135993,-15.949904960763774,0.5545149276621294,-0.0069226169721939845,0.0033060864335179296
2019-03-11,10250.2802734375,10269.2998046875,10214.01953125,10224.26953125,1774800,0.0008325455131963,14.3891988619305,,,55.04446789275541,116.35020669959158,138.39186670900628,-22.0416600094147,0.5468542730328706,-0.0041720407427466855,0.0025767265312111043
2019-03-12,10343.330078125,10382.1201171875,10294.3701171875,10294.3701171875,1970500,0.0090368261159482,14.493798383102476,,,61.34563807769218,113.3570355896918,133.3849004851434,-20.027864895451586,0.6979253276702121,0.004125100485319777,0.009648169989634914
2019-03-13,10373.3203125,10373.3203125,10331.26953125,10331.26953125,1810600,0.0028952803430391,14.409169392326428,,,63.138946103833675,112.11252380883343,129.1304251498814,-17.017901341047974,0.7414253281879316,0.006720473392942683,0.010754935960652023
2019-03-14,10348.650390625,10407.26953125,10339.6396484375,10391.2998046875,2101900,-0.002381041251689,14.558352731307984,,,60.646450676544596,107.8918723915358,124.88271459821229,-16.99084220667649,0.6680327327796295,0.0036061001342426735,0.007120037655980349
2019-03-15,10439.240234375,10439.240234375,10370.0,10374.66015625,2821000,0.008715691153266,14.852602344468297,,,65.96040530365762,110.58209745044587,122.022591168659,-11.440493718213133,0.846570131816932,0.008528285323357476,0.014215468436233225
2019-03-18,10512.7001953125,10512.7001953125,10445.740234375,10455.1904296875,2211800,0.0070122633459382,14.60931767374374,,,69.55097373928493,117.28968265742151,121.07600946641152,-3.7863268089900117,0.9729132543360263,0.010501513592576783,0.019254614948887916
2019-03-19,10512.3203125,10525.599609375,10484.6904296875,10497.400390625,2284300,-3.6136260832622415e-05,14.641570627414737,,,69.5101408010707,121.17797463046372,121.09640249922197,0.08157213124175655,0.9560641922051504,0.0071928956506635,0.01701132337719158
2019-03-20,10551.5595703125,10556.8095703125,10506.9599609375,10529.2998046875,2260000,0.0037257431604562,14.630875813726249,,,71.3792886837465,125.97360885500893,122.07184377037936,3.9017650846295737,1.003093480527909,0.007511336277366887,0.01880528781476598
2019-03-21,10609.5498046875,10612.33984375,10551.669921875,10563.9296875,2137700,0.0054808449325145,14.57524151045975,,,73.92351669107961,132.92127705680468,124.24173042766444,8.679546629140248,1.0753829110336501,0.008026146045328142,0.022147955473394543
2019-03-22,10639.0703125,10667.9404296875,10589.4697265625,10642.5703125,2427100,0.0027785829519756,14.702208099005604,,,75.1352667611996,139.20474676055346,127.23433369424225,11.97041306631121,1.0377743397085315,0.007007098237563181,0.023185079439705714
2019-03-25,10479.48046875,10535.1201171875,10458.7900390625,10535.1201171875,2215900,-0.0151139993796723,14.611169650761097,,,59.136521722537395,129.81050048274483,127.74956705194278,2.060933430802052,0.664210285470187,-0.007474205769445796,0.007062367073320086
2019-03-26,10559.2001953125,10559.2001953125,10506.6796875,10506.6796875,1978500,0.007578432257983,14.497850045240895,,,63.33627611119508,127.33042246400328,127.66573813435488,-0.3353156703516049,0.8071671181511305,-0.00081113359968088,0.013572595219767614
2019-03-27,10542.7001953125,10556.75,10515.8603515625,10542.6796875,1974900,-0.0015638405126797,14.496028828478702,,,61.91784827798204,122.62004313349098,126.6565991341821,-4.036556000691121,0.7481595809649398,-0.002205186406331494,0.011252152864641873
2019-03-28,10536.259765625,10536.259765625,10499.2900390625,10529.01953125,1931300,-0.0006110766280544,14.473704427046505,,,61.34039497483376,117.01842911732274,124.72896513081024,-7.7105360134874985,0.7151723788877372,-0.0014294315933444102,0.00993346852087984
