Date,Close,High,Low,Open,Volume,log_return,log_volume,log_return_z,log_volume_z,RSI_14,MACD,MACD_signal,MACD_hist,BB_pos,MA5_dev,MA20_dev
2019-01-02,23.219999313354492,28.530000686645508,23.049999237060547,27.540000915527344,0,,0.0,,,,0.0,0.0,0.0,,,
2019-01-03,25.450000762939453,26.600000381469727,24.049999237060547,25.68000030517578,0,0.0917018262760574,0.0,,,,0.17789185352814485,0.03557837070562897,0.14231348282251588,,,
2019-01-04,21.3799991607666,24.479999542236328,21.190000534057617,24.36000061035156,0,-0.1742599066308067,0.0,,,87.68905297948903,-0.00943393722602437,0.026575909119298302,-0.03600984634532267,,,
2019-01-07,21.399999618530273,22.709999084472656,20.90999984741211,22.059999465942383,0,0.0009350378584183,0.0,,,87.69706847007373,-0.15449617053402775,-0.00963850681136691,-0.14485766372266085,,,
2019-01-08,20.469999313354492,22.030000686645508,20.09000015258789,20.959999084472656,0,-0.0444305380729115,0.0,,,84.92810072648903,-0.3405763358402538,-0.07582607261714429,-0.2647502632231095,,-0.0855075210752484,
2019-01-09,19.979999542236328,22.799999237060547,19.479999542236328,20.440000534057617,0,-0.0242286158198934,0.0,,,83.43334594773982,-0.5215727281683478,-0.16497540372738498,-0.3565973244409628,,-0.08078764092824142,
2019-01-10,19.5,21.31999969482422,19.290000915527344,20.979999542236328,0,-0.0243172847396113,0.0,,,81.91245487834044,-0.6957257314736758,-0.27112546927664316,-0.4246002621970326,,-0.05091013097727903,
2019-01-11,18.190000534057617,20.15999984741211,18.1200008392334,19.68000030517578,0,-0.0695424436797137,0.0,,,77.74704885313906,-0.9287432757171423,-0.402649030564743,-0.5260942451523993,,-0.08629693011333894,
2019-01-14,19.06999969482422,20.270000457763672,18.700000762939453,19.84000015258789,0,0.047244381719415,0.0,,,78.53663765301978,-1.0305235465508176,-0.528223933761958,-0.5022996127888596,,-0.01913384042659305,
2019-01-15,18.600000381469727,19.200000762939453,17.979999542236328,18.530000686645508,0,-0.0249548023811221,0.0,,,76.96587266773147,-1.1360148886219932,-0.649782124733965,-0.48623276388802816,,-0.024543719755550475,
2019-01-16,19.040000915527344,19.040000915527344,17.760000228881836,18.079999923706055,0,0.023380476219357,0.0,,,77.42115550960355,-1.1706190041817415,-0.7539495006235204,-0.4166695035582211,,0.008474608462146094,
2019-01-17,18.059999465942383,19.719999313354492,17.850000381469727,19.510000228881836,0,-0.0528425590300951,0.0,,,73.9167790670372,-1.2625668570324073,-0.8556729719052979,-0.40689388512710944,,-0.028614496920491672,
2019-01-18,17.799999237060547,18.18000030517578,17.170000076293945,17.799999237060547,0,-0.0145011039812707,0.0,,,72.97305436384939,-1.3409583057916485,-0.9527300386825681,-0.3882282671090804,,-0.038565447999251656,
2019-01-22,20.799999237060547,21.149999618530273,18.200000762939453,18.530000686645508,0,0.1557545355912187,0.0,,,76.6737209863155,-1.1477782920754827,-0.9917396893611511,-0.15603860271433156,,0.10286317101506426,
2019-01-23,19.520000457763672,22.020000457763672,19.469999313354492,20.850000381469727,0,-0.0635133455915362,0.0,,,72.13530941230837,-1.0854544997109947,-1.0104826514311198,-0.07497184827987491,,0.02499478043085923,
2019-01-24,18.88999938964844,20.25,18.6299991607666,19.690000534057617,0,-0.0328069552333652,0.0,,,69.94096216503877,-1.0745119612726732,-1.0232885133994305,-0.05122344787324273,,-0.006521519445276236,
2019-01-25,17.420000076293945,18.459999084472656,17.309999465942383,18.43000030517578,0,-0.0810136733985566,0.0,,,64.97435339671696,-1.1709584993304993,-1.0528225105856444,-0.11813598874485498,,-0.0776236168667147,
2019-01-28,18.8700008392334,20.420000076293945,18.420000076293945,18.559999465942383,0,0.0799544280509036,0.0,,,67.43113606907008,-1.1175081933654702,-1.0657596471416095,-0.051748546223860714,,-0.012041840877832666,
2019-01-29,19.1299991607666,19.93000030517578,18.420000076293945,19.450000762939453,0,0.0136843357272092,0.0,,,67.86637456702118,-1.0421554300698155,-1.0610388037272507,0.0188833736574352,,0.019396737521121254,
2019-01-30,17.65999984741211,19.309999465942383,17.540000915527344,19.149999618530273,0,-0.0799555530466419,0.0,,,62.7597147826936,-1.0885068521420145,-1.0665324134102034,-0.02197443873181104,0.24005989445018883,-0.0399043177524635,-0.10457599269651563
2019-01-31,16.56999969482422,17.719999313354492,16.540000915527344,17.389999389648438,0,-0.0637083735143992,0.0,,,59.20245098410516,-1.1993690114974207,-1.0930997330276468,-0.10626927846977385,0.13337214484449159,-0.07585054292631199,-0.14543580149969837
2019-02-01,16.139999389648438,16.829999923706055,16.079999923706055,16.6299991607666,0,-0.0262931879953837,0.0,,,57.81035983422876,-1.3068608243796653,-1.1358519512980505,-0.17100887308161483,0.01878723494252413,-0.08679418441041942,-0.14713733192003386
2019-02-04,15.729999542236328,16.729999542236328,15.600000381469728,16.719999313354492,0,-0.0257309370568481,0.0,,,56.447435283821584,-1.408891596381487,-1.190459880314738,-0.21843171606674905,0.012321954507165129,-0.07720286408892996,-0.1562064318882339
2019-02-05,15.56999969482422,15.9399995803833,15.039999961853027,15.789999961853027,0,-0.0102237217232078,0.0,,,55.893640203042786,-1.4855380113174235,-1.2494755065152752,-0.2360625048021483,0.03506419793455281,-0.046773598389484805,-0.15152176524080874
2019-02-06,15.380000114440918,15.869999885559082,15.09000015258789,15.4399995803833,0,-0.0122779947272742,0.0,,,55.20106003139743,-1.5438160748867844,-1.308343620189577,-0.23547245469720735,0.06126115994365138,-0.031364125366215356,-0.15008840446620286
2019-02-07,16.3700008392334,17.889999389648438,15.510000228881836,15.65999984741211,0,0.0623824711312009,0.0,,,58.11345173889471,-1.4929077640259223,-1.3452564489568462,-0.14765131506907614,0.24692118837789157,0.03359015822551692,-0.08626603180469661
2019-02-08,15.720000267028809,17.6299991607666,15.619999885559082,16.809999465942383,0,-0.0405166386619649,0.0,,,55.55955284780456,-1.4878610388945468,-1.3737773669443862,-0.11408367195016056,0.17719366602999495,-0.0021581708979522274,-0.11319209538514263
2019-02-11,15.970000267028809,16.5,15.34000015258789,16.170000076293945,0,0.0157781749599468,0.0,,,56.35403129086188,-1.4470083506703126,-1.3884235636895716,-0.05858478698074099,0.2425317843135311,0.010631567396727881,-0.09341203289904898
2019-02-12,15.43000030517578,15.649999618530272,14.949999809265137,15.229999542236328,0,-0.034398292794423,0.0,,,54.10408496417875,-1.4415880551362363,-1.3990564619789048,-0.04253159315733157,0.19278095888990532,-0.021808041434373093,-0.11492239974742502
2019-02-13,15.649999618530272,15.90999984741211,15.0,15.460000038146973,0,0.0141572064579499,0.0,,,54.89420270379056,-1.4033632281666009,-1.399917815216444,-0.0034454129501568787,0.2525045391202097,-0.011245933658829532,-0.09464308152354406
2019-02-14,16.219999313354492,17.270000457763672,15.300000190734863,15.609999656677246,0,0.0357741137429047,0.0,,,56.961545197333926,-1.3119521974418298,-1.3823246916615213,0.0703724942196915,0.3568021337887551,0.026712201566884808,-0.05395162048805846
2019-02-15,14.90999984741211,16.81999969482422,14.789999961853027,16.81999969482422,0,-0.0842128878112867,0.0,,,51.15822283062981,-1.3298842282318795,-1.371836598975593,0.041952370743713496,0.18964898103794228,-0.046431314205059526,-0.12229580733076073
2019-02-19,14.880000114440918,16.15999984741211,14.640000343322754,15.649999618530272,0,-0.0020140814468496,0.0,,,51.03000409475231,-1.3311713053758378,-1.3637035402556419,0.032532234879804056,0.21580050030307515,-0.03489426196215206,-0.11646823607924006
2019-02-20,14.020000457763672,15.1899995803833,13.989999771118164,14.920000076293944,0,-0.059533122838663,0.0,,,47.365119910492645,-1.3856136169999065,-1.3680855556044949,-0.01752806139541163,0.10353892629616844,-0.07373146287655719,-0.15043172306183117
2019-02-21,14.460000038146973,15.170000076293944,13.850000381469728,14.0,0,0.0309013051115172,0.0,,,49.36863649879069,-1.3773776995579912,-1.3699439843951942,-0.0074337151627970055,0.19299336253920044,-0.029399913909416098,-0.11012645984410319
2019-02-22,13.510000228881836,14.470000267028809,13.510000228881836,14.460000038146973,0,-0.0679560504549537,0.0,,,45.35447035667734,-1.431011906294927,-1.3821575687751408,-0.04885433751978607,0.07127380106095639,-0.05893005714366484,-0.1545946470139119
2019-02-25,14.850000381469728,14.899999618530272,13.4399995803833,13.90999984741211,0,0.0945697220231375,0.0,,,51.36187700127343,-1.3498305813804432,-1.3756921712962014,0.025861589915758154,0.32358129036140354,0.03527608259319415,-0.06320966545189788
