ticker,total_rows,ffill_Close,roll_Close,zero_Volume,remain_Close,long_gaps,outlier_price,outlier_ret,ohlc_violations,adf_close_p,adf_logret_p,logret_stationary,logret_std
2303,1697,0,0,0,0,0,0,0,3,0.4867,0.0,True,0.021075
2308,1697,0,0,0,0,0,300,0,0,0.9908,0.0,True,0.019783
2330,1697,0,0,0,0,0,0,1,1,0.9974,0.0,True,0.018008
2357,1697,0,0,0,0,0,0,0,5,0.8773,0.0,True,0.018803
2382,1697,0,0,0,0,0,0,1,6,0.9109,0.0,True,0.021116
2395,1697,0,0,0,0,0,0,2,1,0.1485,0.0,True,0.017491
2409,1697,0,0,0,0,0,0,0,4,0.2174,0.0,True,0.025424
2412,1697,0,0,0,0,0,0,1,1,0.9118,0.0,True,0.006446
3596,1697,0,0,0,0,0,0,2,6,0.8357,0.0,True,0.022679
3711,1697,0,0,0,0,0,0,0,0,0.9979,0.0,True,0.022276
6415,1697,0,0,0,0,0,0,0,0,0.5829,0.0,True,0.035408
8150,1697,0,0,0,0,0,0,1,2,0.5658,0.0,True,0.021066
