Date,Close,High,Low,Open,Volume
2019-01-02,111.04833984375,112.72544529985842,109.01185464704693,110.2097871156958,831864
2019-01-03,109.25143432617188,112.24626531099018,108.53267488981548,108.53267488981548,500212
2019-01-04,105.178466796875,107.81391812891515,100.62632358698748,107.81391812891515,956880
2019-01-07,105.178466796875,107.93371137128061,103.50136140375855,107.09515867472238,1154440
2019-01-08,106.6159896850586,108.5326816344529,105.65764371036144,105.65764371036144,1220400
2019-01-09,111.40771484375,112.60564726142474,108.65247028309813,108.65247028309813,681472
2019-01-10,115.6004867553711,116.19945300798959,111.40772298704157,112.60565549227857,1319556
2019-01-11,106.6159896850586,110.32958033701007,104.45971124199,110.20978709017292,4473228
2019-01-14,106.37640380859375,108.41288901664115,102.06384689743454,107.09516329378695,1464084
2019-01-15,105.41805267333984,108.17329723184758,103.50136080655184,105.41805267333984,2381952
2019-01-16,103.98052978515625,107.57432689754644,103.38156359975788,106.61598100090906,1984764
2019-01-17,103.14198303222656,106.61598710648273,102.30343032464748,105.41805466708405,1320896
2019-01-18,100.62632751464844,104.45971141996837,100.62632751464844,103.86074518476214,1397784
2019-01-21,110.68895721435547,110.68895721435547,101.584670690231,101.584670690231,1345852
2019-01-22,110.20978546142578,116.19944771476413,107.93371380515721,115.72027473449707,3117968
2019-01-23,115.48068237304688,119.31406602028495,110.6889528139993,110.92853929195167,2449228
2019-01-24,117.75675201416016,120.99116941434563,114.04316166579905,115.95985345850156,3182232
2019-01-25,117.03799438476562,123.86620900086761,117.03799438476562,117.75675381803951,1901844
2019-01-28,112.12647247314453,120.7515857403095,111.40771303421411,118.59530742351825,1801252
2019-01-29,106.25660705566406,110.3295773373919,104.45970840196061,110.20978409381166,2404664
2019-01-30,108.77226257324219,109.13164229540047,107.81391664748675,108.17329636964503,1226796
2019-02-11,116.3192367553711,116.6786164775813,109.73060851485059,110.92854092221795,1742876
2019-02-12,119.31407165527344,121.94952303721722,115.00151484845632,117.3973797411325,1205012
2019-02-13,120.03282928466797,122.18910765505123,119.31406982787355,119.31406982787355,1241068
2019-02-14,118.23592376708984,123.38703290790531,118.23592376708984,119.79323583291777,756944
2019-02-15,116.91819763183594,119.43385557268486,114.28274645570849,118.23592321989966,408948
2019-02-18,115.00151062011719,117.39737542470296,114.52233765920003,116.9182024637858,868972
2019-02-19,119.55364990234375,120.99116873884488,115.72026633834075,115.72026633834075,1208168
2019-02-20,117.63695526123047,123.14744400055491,116.19943645966757,119.55364699664767,1404944
2019-02-21,120.03282928466797,120.75158874146238,117.87655091428472,118.7151036138782,894080
2019-02-22,116.07965087890625,120.03282784382257,115.48068467210075,120.03282784382257,412560
2019-02-25,122.1891098022461,122.1891098022461,116.07965431213378,118.11613947550455,917556
2019-02-26,120.7515869140625,123.38703821575831,119.31406802222841,122.66827876984127,761040
2019-02-27,132.73089599609375,132.73089599609375,116.43901706516527,120.75157325276399,2359380
2019-03-04,133.2100830078125,136.32470725080094,129.37669932413445,131.77256412643322,1745288
2019-03-05,131.77256774902344,139.67892181396485,131.77256774902344,133.21008666992188,1121020
2019-03-06,129.85586547851562,136.32470010567414,129.61627901084307,136.32470010567414,937420
2019-03-07,129.61627197265625,134.40800106591527,128.8975126086674,132.7308958832746,820048
2019-03-08,127.93919372558594,129.6162992613146,126.50167469496138,129.1371262511064,416676
2019-03-11,123.8662109375,127.69959464156189,121.47034612246131,125.06414334501933,1241208
2019-03-12,122.66828155517578,127.46001130342484,121.23076263070107,124.82455994188786,653084
2019-03-13,119.31407165527344,124.82456090842862,118.59531218747058,122.66828250502007,1183440
2019-03-14,119.79324340820312,123.38704071044923,119.43386367797852,122.1891082763672,756300
2019-03-15,123.62662506103516,126.9808358185051,120.75158726891806,121.2307602342709,1156680
2019-03-18,120.99117279052734,123.62662407903389,116.19944317506092,123.62662407903389,2300432
2019-03-19,119.19428253173828,122.66828674623116,118.5953162878602,119.79324877561636,1300704
2019-03-20,116.91819763183594,122.66827292520492,116.31923145544333,118.95468263157079,1476860
2019-03-21,114.76192474365234,116.43903011568902,112.24626668559733,115.95985715224997,1820772
2019-03-22,110.20978546142578,115.48068824436353,108.77226652062457,114.76192877396294,4573444
2019-03-25,105.178466796875,108.05350461364607,104.45970734268224,107.21495191708784,3260620
2019-03-26,107.81391906738281,108.89205825805665,105.77743392944336,107.33474609375,2113636
2019-03-27,106.37640380859375,110.20978772962415,106.37640380859375,109.73061473949535,1672964
2019-03-28,109.7306137084961,109.7306137084961,105.1784703450432,105.1784703450432,1064772
2019-03-29,110.20978546142578,111.40771791209346,109.25143950089165,109.97019897129225,1376668
2019-04-01,114.64212799072266,115.48068065105187,111.16812411221592,111.40771058659568,1673012
2019-04-02,118.47552490234375,120.99118316619533,115.72028013717296,115.84007338783256,2090792
2019-04-03,115.12129974365234,120.27240888931004,115.12129974365234,119.07447652985476,1784240
2019-04-08,117.75675201416016,121.23075588843345,115.48068051032594,117.39737230302843,2529040
2019-04-09,116.1994400024414,118.11613179629612,115.36088734262998,117.75675208494836,672184
2019-04-10,115.12129974365234,115.60047268743445,113.2046079685239,115.48067945148892,504116
2019-04-11,113.80358123779297,117.87655151367188,113.80358123779297,115.24110015869141,428080
2019-04-12,112.60564422607422,113.92336984999636,111.28791860215208,113.92336984999636,447812
