run,arch,n_days,IC,RankIC,ICIR,RMSE,R2,R2_zero,Sharpe,hit_rate,ann_return
20260621_1446_opt_p14_sched,?,246,0.03509693287807826,0.02874564459930314,0.08975492785936165,0.02223923537554388,-0.017056812802977772,-0.015315489478723299,1.3621649103197995,0.508130081300813,0.37835246341291545
20260702_2119_opt_p20_adv_alstm,adv_alstm,246,0.03438910652883808,0.036295005807200936,0.08598523730504076,0.022432023364913563,-0.03476661354015409,-0.03299496891161913,1.57678370578612,0.5650406504065041,0.40899018998961906
20260715_1455_opt_p37_magnet_seed7,magnet,246,0.03317460924391261,0.036004645760743324,0.0833191014419509,0.022337369611925548,-0.026052473103352458,-0.024295748129061545,1.4189231761092072,0.5487804878048781,0.40560050641197837
20260703_0027_opt_p22_man_sf,man_sf,246,0.032993982282203946,0.04123112659698026,0.08453580544868111,0.024245154075255664,-0.20880266081508125,-0.20673304558690453,0.9482190422073136,0.5203252032520326,0.2822567100562836
20260718_2348_opt_p56_advalstm_s123,adv_alstm,246,0.03254097210807061,0.04108594657375145,0.07856936659425856,0.02308688831375662,-0.09606501176746063,-0.09418841692451374,1.6776825089623277,0.5650406504065041,0.43874794487250685
20260620_1747_opt_p10_var_10,?,246,0.03190342335125741,0.04384436701509873,0.08103019841645948,0.023363228064994187,-0.12246086344525886,-0.12053907573637623,1.2475629346804837,0.532520325203252,0.3501591007111632
20260719_0002_opt_p62_hgt_s123,hgt,246,0.03186210519064022,0.032229965156794424,0.07430644611870503,0.022055766151981196,-0.00034500414151361625,0.0013677065606666483,1.3453030890277513,0.483739837398374,0.41330739390672816
20260804_1840_opt_p71_lstm_s314,baseline_lstm,246,0.03081412865036388,0.0542973286875726,0.07322630590744948,0.028027090313403853,-0.615331032746383,-0.6125653921564918,1.7134416942606172,0.524390243902439,0.5149021835219698
20260710_2144_opt_p30_dl_lr5e4_pat20,delta_lag,246,0.029597787073762222,0.011033681765389084,0.07404227129261168,0.02510484457785777,-0.29604650323531834,-0.2938275160784629,0.23101114652637056,0.5,0.06045596655912513
20260710_2143_opt_p29_dl_lr5e4_pat15,delta_lag,246,0.029597787073762222,0.011033681765389084,0.07404227129261168,0.02510484457785777,-0.29604650323531834,-0.2938275160784629,0.23101114652637056,0.5,0.06045596655912513
20260804_1835_opt_p71_lstm_s42,baseline_lstm,246,0.028251656213930974,0.014227642276422762,0.07403351723613744,0.022155372703490727,-0.009400768589495678,-0.007672553331764753,0.4977737442840374,0.516260162601626,0.14587781470121364
20260717_2348_opt_p49_ma_lr5e4_s42,magnet,246,0.028126526809661368,0.032229965156794424,0.06926463015651863,0.02208475276701253,-0.0029761228810900597,-0.0012589073878574997,-0.3625140369082429,0.5365853658536586,-0.10475716224826243
20260620_1706_opt_p6_mse_rank,?,246,0.027954807184743736,0.019599303135888497,0.07295983610640543,0.022158339989806944,-0.009671166357276162,-0.0079424881461152,0.029277255475718723,0.4959349593495935,0.00806038466100513
20260717_2332_opt_p47_raw_lr5e4_s7,magnet,246,0.027925295493335497,0.03861788617886179,0.07269720873981868,0.022405587609170587,-0.03232914114652785,-0.03056166976326069,-0.05981172819509582,0.4959349593495935,-0.016134902139240223
20260703_0046_opt_p23_hgt,hgt,246,0.027695692434109326,0.021051103368176546,0.06800785497149932,0.022506324343812424,-0.041632824558049286,-0.03984942415221249,0.9360363571431061,0.5203252032520326,0.2897948368577423
20260710_2122_opt_p25_hgt_lr1e3_pat20,hgt,246,0.02732789410853058,0.019599303135888507,0.0669970121738488,0.022508187626179232,-0.04180530375865721,-0.04002160804772914,0.9519211278338935,0.5203252032520326,0.2947220460784326
20260718_0042_opt_p53_noa12_lr5e4_s7,magnet_no_a12,246,0.025637077749533044,0.028019744483159116,0.06338559246336069,0.022111951544185847,-0.0054481018723595565,-0.003726654054422518,-0.5277893253572544,0.4796747967479675,-0.15450495610683748
20260717_1546_opt_p44_ma_lr1e3_s7,magnet,246,0.024781448281595845,0.03048780487804878,0.0608300962459165,0.02206557891986365,-0.0012353234257058698,0.0004789116099395141,-0.5931078267504055,0.524390243902439,-0.17252594832240192
20260712_1609_opt_p34_meig_lr5e4_pat20,meig,246,0.02330019508627098,0.02047038327526131,0.05897986919631456,0.022378157480599806,-0.029803022393315448,-0.02803987602852276,-0.35462794493904626,0.5121951219512195,-0.10071815848464095
20260712_1608_opt_p33_meig_lr5e4_pat15,meig,246,0.02330019508627098,0.02047038327526131,0.05897986919631456,0.022378157480599806,-0.029803022393315448,-0.02803987602852276,-0.35462794493904626,0.5121951219512195,-0.10071815848464095
20260718_2352_opt_p58_mansf_s123,man_sf,246,0.02230421335243447,0.027874564459930303,0.05333516824377307,0.022498325588343884,-0.04089256279268194,-0.03911042980382895,0.6736653088214848,0.516260162601626,0.22467509069956998
20260718_2349_opt_p57_mansf_s7,man_sf,246,0.021648717848543487,0.02627758420441347,0.052745789324364446,0.023291736182788812,-0.11560187450354587,-0.1136918302069041,1.0621630610203703,0.5650406504065041,0.34030536899808794
