Date,Close,High,Low,Open,Volume,log_return,log_volume,log_return_z,log_volume_z,RSI_14,MACD,MACD_signal,MACD_hist,BB_pos,MA5_dev,MA20_dev
2019-01-02,6665.93994140625,6693.7099609375,6506.8798828125,6506.91015625,2261800000,,21.539426793843628,,,,0.0,0.0,0.0,,,
2019-01-03,6463.5,6600.2099609375,6457.1298828125,6584.77001953125,2631550000,-0.0308400034130635,21.69083886352762,,,0.0,-16.149055154915004,-3.229811030983001,-12.919244123932003,,,
2019-01-04,6738.85986328125,6760.68994140625,6554.240234375,6567.14013671875,2596150000,0.0417197841226696,21.67729541570602,,,9.472045777263133,-6.6513849985240086,-3.9141258244912027,-2.737259174032806,,,
2019-01-07,6823.47021484375,6855.60009765625,6741.39990234375,6757.52978515625,2523450000,0.0124774207371523,21.648892850193835,,,12.223299146715505,7.615152542078249,-1.6082701511773125,9.22342269325556,,,
2019-01-08,6897.0,6909.580078125,6795.85986328125,6893.43994140625,2407340000,0.0107183628474668,21.601788240861108,,,14.650867533211496,24.571480741145024,3.627680027287155,20.94380071385787,,0.026682429274653696,
2019-01-09,6957.080078125,6985.22021484375,6899.56005859375,6923.06005859375,2434500000,0.0086733228652315,21.61300723399779,,,16.678554411926,42.36904917213906,11.375953856257535,30.993095315881522,,0.02672646504075704,
2019-01-10,6986.06982421875,6991.3701171875,6877.080078125,6908.64990234375,2190110000,0.0041582838984552,21.50721760828052,,,17.69463587093395,58.14274721333459,20.729312527672946,37.41343468566164,,0.015343926976330913,
2019-01-11,6971.47998046875,6975.64990234375,6933.60009765625,6947.4599609375,2074310000,-0.0020906031886758,21.45289440569028,,,17.57845268339004,68.67460005514477,30.318370033167312,38.35623002197745,,0.006418338739045293,
2019-01-14,6905.919921875,6936.22021484375,6887.47998046875,6908.02978515625,1960780000,-0.0094485345659611,21.396608190717757,,,17.037111583709546,70.91357296298611,38.43741061913107,32.47616234385504,,-0.005413694122133106,
2019-01-15,7023.830078125,7025.85009765625,6928.1201171875,6931.39013671875,2066090000,0.0169296609710843,21.448923769618546,,,21.70703402189274,81.26556052083379,47.00304059947162,34.26251992136217,,0.007885647807095442,
2019-01-16,7034.68994140625,7079.6298828125,7028.1201171875,7033.75,2163730000,0.0015449514495489,21.49509942166212,,,22.14173274459624,89.31630270943697,55.465693021464695,33.85060968797227,,0.0072006195169800336,
