Date,Close,High,Low,Open,Volume
2019-01-02,31.14947509765625,31.345651574205,30.705944399221224,30.876533629960687,5273100
2019-01-03,29.307119369506836,30.296533030532046,29.23035437624975,30.143003044017874,15998000
2019-01-04,29.827411651611328,29.878586138765993,29.179173282090495,29.3924089884847,14178200
2019-01-07,30.04918098449707,30.253888732624794,29.827417239934707,29.861532486523267,6850800
2019-01-08,29.801820755004883,30.006528462036684,29.5459385615041,29.946822725343786,11462600
2019-01-09,30.373302459716797,30.671831225027436,30.134479447468284,30.134479447468284,11770300
2019-01-10,31.06418228149414,31.115360032476055,30.194183290836733,30.24535778809934,7894600
2019-01-11,31.22623634338379,31.36270706086264,30.910648419286176,31.08976562590494,7232700
2019-01-14,30.501235961914062,30.868001660668696,30.467120719535092,30.816827170240803,6146200
2019-01-15,30.74005699157715,30.902114940106202,30.535349303266162,30.74005699157715,10165800
2019-01-16,30.398881912231445,30.73152909502597,30.398881912231445,30.620648869906915,8727400
2019-01-17,30.953296661376953,31.175060369694577,29.70800088714387,29.784762619711756,21916900
2019-01-18,31.42241859436035,31.567417334934436,30.842417124625687,30.910654122815252,12905900
2019-01-22,31.02153778076172,31.35418504927309,30.791242767087805,31.132421288172015,13381700
2019-01-23,31.1238956451416,31.33713142352955,30.910659866753655,31.158010896856652,13918600
2019-01-24,32.104766845703125,32.104766845703125,31.371235508556172,31.45653174178175,14094100
2019-01-25,32.5312385559082,32.63359078302064,32.30947485487815,32.41182708199059,16763700
2019-01-28,31.93418312072754,32.12183161235182,31.473596397033916,31.490652392891427,14086500
2019-01-29,30.987417221069336,31.80624162687959,30.96182672145598,31.80624162687959,10100800
2019-01-30,31.88300895690918,31.942714704188177,30.95330099449728,31.396831726940675,9281600
2019-01-31,32.087703704833984,32.497115813473926,31.823293548220516,31.823293548220516,7633400
2019-02-01,32.04507064819336,32.300952916601624,31.934187138852604,32.19860065998223,6438300
2019-02-04,32.360652923583984,32.42035866715163,31.883006975042772,31.985359213484603,7283800
2019-02-05,32.62506103515625,32.642120281045685,32.30947312049787,32.34358835855828,7314000
2019-02-06,33.04301071166992,33.111244454490844,32.676244989565106,32.77006597922899,8795200
2019-02-07,32.51417922973633,32.80417991727921,32.26682828596161,32.727414933702605,7916200
2019-02-08,32.23270797729492,32.34358819443591,31.985353793730972,32.16447099408344,7147200
2019-02-11,32.659183502197266,32.659183502197266,32.26683056013862,32.34359229540679,8860700
2019-02-12,32.95772171020508,33.06860522709559,32.78713243507809,32.95772171020508,8831200
2019-02-13,32.52271270751953,32.82124141203166,32.4544757157917,32.72741717526532,7155600
2019-02-14,32.463008880615234,32.59094836706987,32.20712340026788,32.34359413805092,7782800
2019-02-15,32.488590240478516,32.65064819544501,32.300941789882664,32.33506028157617,6257600
2019-02-19,32.80418014526367,32.97476936036599,32.49712020882323,32.59947569011581,8105700
2019-02-20,33.264766693115234,33.69976605669683,33.170942471591005,33.20506096191224,7178600
2019-02-21,33.24772644042969,33.41831573576519,33.09419639999976,33.32449146064465,4607300
2019-02-22,33.5974235534668,33.614482803559746,33.333013311324166,33.367128557790814,5117800
2019-02-25,33.75947952270508,34.0494769677736,33.67418328558014,34.006830476070505,5101500
2019-02-26,33.77654266357422,33.836248415336115,33.588897409630874,33.614484659323274,5587300
2019-02-27,33.64860153198242,33.7680130297238,33.31595428721165,33.69977602888913,8194900
2019-02-28,33.30741882324219,33.51212654613987,33.26477232997318,33.36712456456258,5705100
2019-03-01,33.5974235534668,33.70830705221136,33.43536555816263,33.571836305187,5299200
2019-03-04,33.3927116394043,33.54624160240485,33.017414728194716,33.54624160240485,7081100
2019-03-05,33.281837463378906,33.46095471901407,32.97477745159323,33.222131711500516,7192400
2019-03-06,33.085655212402344,33.45242091238919,33.07712396148978,33.31595018125819,4433400
2019-03-07,32.94918441772461,33.16242013806297,32.72741744649014,33.06859590051907,4231300
2019-03-08,32.58241653442383,32.73594650307374,32.36064957805455,32.3691808283788,5066200
2019-03-11,32.95772171020508,33.000368215556875,32.582427907901554,32.60801516036867,6005400
2019-03-12,33.17947769165039,33.40976939458214,33.145359197246165,33.30741716508817,5580200
2019-03-13,33.44388961791992,33.640066090307805,33.28183164170008,33.45242086882137,6086400
2019-03-14,33.11124038696289,33.30741684733761,33.04300665252409,33.26477035659853,4935000
2019-03-15,33.819190979003906,34.17742547433231,33.61448322901675,33.61448322901675,8871300
2019-03-18,33.98976516723633,34.10064862886547,33.81064798179413,33.99829641628681,6290900
2019-03-19,33.91300964355469,34.185954376011985,33.77653890418558,34.100658130331865,8033600
2019-03-20,33.98976516723633,34.24565057926023,33.81064798179413,33.921531443423284,5394000
2019-03-21,35.0047721862793,35.17536139163013,34.30535937268746,34.33094661468863,6509600
2019-03-22,34.48447799682617,34.98771438382755,34.4077130139372,34.834184418049595,6759100
2019-03-25,34.04948806762695,34.51007813709393,33.92154855081045,34.117725079571606,4901800
2019-03-26,34.45889663696289,34.65507312590172,34.177423900407724,34.21154239945426,5573500
2019-03-27,34.28830337524414,34.339477864094725,33.94712493221931,34.27977212462319,7660300
2019-03-28,34.40771484375,34.578304065210666,34.288303364843166,34.32242185987905,6632700
2019-03-29,34.936527252197266,35.01329221444993,34.6294674031866,34.8171158117415,6116300
2019-04-01,35.2862548828125,35.2862548828125,34.74890307634569,35.038903858413995,6834200
2019-04-02,35.200958251953125,35.277723252650375,34.970663249861374,35.124193251255875,5580200
2019-04-03,35.64447784423828,35.78947654808566,35.40565166478622,35.48241664144611,6821100
2019-04-04,35.85772705078125,35.977138558677666,35.52507977772137,35.59331353063951,7610300
2019-04-05,36.019775390625,36.11359962270277,35.87477667102749,36.11359962270277,4430600
2019-04-08,36.15625,36.241546244565924,35.89183977614323,36.02831051372967,6830300
2019-04-09,36.002716064453125,36.079481049282776,35.849186094793815,36.02830656187546,5049900
2019-04-10,36.139190673828125,36.25007416466726,35.97713269007787,36.04536643186571,4040200
2019-04-11,35.908897399902344,35.99419364833668,35.78095790782962,35.9003694019185,5172200
2019-04-12,36.31830978393555,36.37801552588206,36.06242431420032,36.22448554552849,6555700
2019-04-15,36.343902587890625,36.48037334088588,36.21595983345533,36.31831533849133,5274400
2019-04-16,36.68507766723633,36.74478667174677,36.463313914829456,36.53155091785889,6639100
2019-04-17,37.86212921142578,37.921834945299096,37.41007058246541,37.44418907431258,15795700
2019-04-18,38.72361373901367,38.92831823818648,37.52949223020134,37.58066998185422,16569800
2019-04-22,38.5103645324707,38.51889252790689,38.03271544508895,38.20330463727659,10872000
2019-04-23,38.74066162109375,38.74066162109375,38.43360493665168,38.51036992119187,11437500
2019-04-24,38.73213577270508,38.88566575030084,38.33125158079183,38.45066631625875,10776800
2019-04-25,37.93889617919922,38.41654532893275,37.89624968901484,38.32272109829592,10149800
2019-04-26,37.47830581665039,37.52948355647519,36.94948218666854,37.23095487512703,12745000
2019-04-29,37.384490966796875,37.461252708534545,37.17125522983012,37.40154696248138,9272100
2019-04-30,37.37595748901367,37.47830972561996,36.89830829531944,37.0177230340322,11863900
2019-05-01,37.37595748901367,38.0071366644768,37.37595748901367,37.776841691823456,7319000
2019-05-02,37.870662689208984,37.93036842659484,37.316248552090464,37.410072783330705,10717200
2019-05-03,38.13508224487305,38.501848009556184,38.0071427420865,38.322730753423336,5479900
2019-05-06,37.32477569580078,37.375953435412924,36.85565780403787,36.94948203313417,10756400
2019-05-07,37.32477569580078,37.57212989001492,36.92389479018739,37.384484685540905,10225200
2019-05-08,37.27359390258789,37.52947604304689,37.06888623798992,37.120063967568896,8112600
2019-05-09,36.88977813720703,36.93242462881844,36.06242253432708,36.60830543587803,11229400
2019-05-10,36.53153991699219,36.75330360261861,35.98565381829943,36.557127158563354,8313900
2019-05-13,34.962127685546875,35.4056550894624,34.748891980168054,35.286243615045244,11046000
2019-05-14,35.79801559448242,35.89183983680399,35.3118383876516,35.473896372022196,7107800
2019-05-15,35.79801559448242,36.105075568000636,35.3630128807586,35.43977787413816,5347700
2019-05-16,35.4227180480957,35.51654228888871,35.15830782809978,35.50801429141615,9214700
2019-05-17,34.330955505371094,34.92801625186054,34.19448475649231,34.45036700392512,11271000
2019-05-20,32.97478485107422,33.52066799286861,32.85537332052172,33.47802148248846,13979700
2019-05-21,33.52064514160156,33.554763628134936,32.97476237193941,33.392705697678345,11806400
2019-05-22,33.17947769165039,33.59741786008667,33.170946441189976,33.43535989224466,12217600
2019-05-23,32.47154235839844,32.56536661653118,31.9086000633216,32.39477735208253,14708800
2019-05-24,32.58241653442383,33.04300644037357,32.58241653442383,32.77006174321476,10540700
2019-05-28,32.11330795288086,32.58242599159952,32.11330795288086,32.52272023687458,12484600
2019-05-29,32.14741897583008,32.19859672474474,31.712419498072617,31.951242485569328,13043000
2019-05-30,32.445945739746094,32.72741517915892,32.27535652454993,32.36918075559375,7351600
2019-05-31,32.710365295410156,33.23919233926366,32.625072290256796,32.642131542031386,9302700
2019-06-03,33.11124038696289,33.34153534141635,32.97476966436662,33.23065186251979,9618300
2019-06-04,33.315948486328125,33.350063727086116,32.770062335856906,32.95771080176009,6985600
2019-06-05,32.60801315307617,33.486543473377615,32.497129643011455,33.46948747526267,8219800
2019-06-06,32.787109375,32.91505205478958,32.343578873104995,32.565345750911256,6234000
2019-06-07,33.11124038696289,33.26477035659853,32.88947668288845,33.04300665252409,4456900
2019-06-10,33.79359817504883,34.228600893999406,33.64859943787802,33.682717936172004,8351800
2019-06-11,34.08359909057617,34.629482051406036,34.06653984133535,34.51860181191935,6100600
2019-06-12,33.65712356567383,34.27977144621069,33.64859556894043,34.117713478526426,6163200
2019-06-13,33.64860153198242,33.79360027817715,33.29036378503901,33.79360027817715,6646800
2019-06-14,32.275360107421875,33.00889153659131,32.26683210988877,32.949185792702536,11281500
2019-06-17,32.12183380126953,32.454481056384815,32.12183380126953,32.34359755343993,6500700
2019-06-18,33.44388961791992,33.62300684222379,32.59947798693378,32.64212448028438,12303200
2019-06-19,33.6059455871582,34.08359144386412,33.52064936009045,34.066532198450574,10217600
2019-06-20,34.55271911621094,34.73183961705656,34.23713112074275,34.5015446191573,10400000
2019-06-21,34.561241149902344,34.71477110755179,34.47594492136463,34.561241149902344,12766200
